Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
11,11,11/10/24,@,MIL,W,113,107,,35,86,0.407,19,50,0.38,16,36,0.444,0.517,24,27,0.889,8,34,42,27,5,2,12,16,39,81,0.481,13,32,0.406,26,49,0.531,0.562,16,21,0.762,5,36,41,21,9,8,13,18
12,12,11/12/24,,ATL,L,116,117,,38,75,0.507,18,45,0.4,20,30,0.667,0.627,22,27,0.815,6,28,34,28,7,5,20,12,50,99,0.505,10,32,0.313,40,67,0.597,0.556,7,13,0.538,19,25,44,35,16,2,16,17
13,13,11/13/24,@,BRK,W,139,114,,50,93,0.538,22,46,0.478,28,47,0.596,0.656,17,24,0.708,12,33,45,35,7,6,8,17,40,79,0.506,19,43,0.442,21,36,0.583,0.627,15,18,0.833,3,31,34,26,4,3,13,20
14,14,11/16/24,,TOR,W,126,123,OT,44,99,0.444,21,61,0.344,23,38,0.605,0.551,17,19,0.895,14,28,42,30,2,6,9,20,50,98,0.51,9,23,0.391,41,75,0.547,0.556,14,21,0.667,15,31,46,35,3,2,9,19
15,15,11/19/24,,CLE,W,120,117,,44,86,0.512,22,41,0.537,22,45,0.489,0.64,10,14,0.714,9,33,42,32,4,4,13,19,46,93,0.495,10,29,0.345,36,64,0.563,0.548,15,17,0.882,12,29,41,30,4,3,7,15
16,16,11/22/24,@,WAS,W,108,96,,36,85,0.424,11,46,0.239,25,39,0.641,0.488,25,32,0.781,10,33,43,22,11,7,12,19,39,90,0.433,7,28,0.25,32,62,0.516,0.472,11,16,0.688,10,38,48,19,6,4,20,29
17,17,11/24/24,,MIN,W,107,105,,37,87,0.425,21,56,0.375,16,31,0.516,0.546,12,15,0.8,8,32,40,25,5,7,7,23,37,88,0.42,15,41,0.366,22,47,0.468,0.506,16,21,0.762,11,38,49,19,2,1,8,18
18,18,11/25/24,,LAC,W,126,94,,45,88,0.511,22,51,0.431,23,37,0.622,0.636,14,20,0.7,8,39,47,33,10,11,11,12,39,90,0.433,7,26,0.269,32,64,0.5,0.472,9,13,0.692,10,34,44,18,8,3,14,12
19,19,11/29/24,@,CHI,W,138,129,,49,98,0.5,23,54,0.426,26,44,0.591,0.617,17,23,0.739,11,40,51,24,6,2,9,13,48,93,0.516,20,51,0.392,28,42,0.667,0.624,13,16,0.813,5,38,43,28,7,2,8,17
20,20,12/1/24,@,CLE,L,111,115,,38,95,0.4,17,49,0.347,21,46,0.457,0.489,18,19,0.947,10,36,46,17,11,6,11,19,39,80,0.488,17,36,0.472,22,44,0.5,0.594,20,25,0.8,6,38,44,22,5,7,18,20
21,21,12/2/24,,MIA,W,108,89,,39,89,0.438,19,55,0.345,20,34,0.588,0.545,11,13,0.846,14,40,54,25,5,9,17,20,31,87,0.356,8,35,0.229,23,52,0.442,0.402,19,23,0.826,11,33,44,24,6,1,10,11
22,22,12/4/24,,DET,W,130,120,,45,94,0.479,21,53,0.396,24,41,0.585,0.59,19,25,0.76,14,29,43,30,11,7,16,14,43,84,0.512,20,39,0.513,23,45,0.511,0.631,14,18,0.778,8,26,34,27,10,5,19,21
